Recoil,Atom,Energy(eV),x(A),y(A),z(A),Vac,Repl,
1,1,23.385,38560000.0,-2854000.0,-4001000.0,1,0,
1,1,15.981,38990000.0,-3625000.0,-3208000.0,1,0,
1,6,34.117,23020000.0,-1036000.0,-1777000.0,1,0,
1,1,545.85,23300000.0,-1004000.0,-1704000.0,1,0,
1,1,11.369,26990000.0,-1375000.0,2421000.0,1,0,
1,1,22.794,29420000.0,-1988000.0,5200000.0,1,0,
1,6,76.626,30870000.0,-2258000.0,5482000.0,1,0,
2,1,12.144,30870000.0,-2261000.0,5482000.0,1,0,
1,6,31.476,31110000.0,-2884000.0,4382000.0,1,0,
1,1,17.891,31410000.0,-2749000.0,4386000.0,1,0,
1,9,27.681,6894000.0,-752700.0,20690.0,1,0,
1,1,15.169,28330000.0,-3474000.0,824700.0,1,0,
1,6,81.0,30100000.0,-4594000.0,-307000.0,1,0,
2,1,12.609,30100000.0,-4594000.0,-307100.0,1,0,
1,1,50.458,31040000.0,-3776000.0,-849200.0,1,0,
1,1,17.017,33330000.0,-2797000.0,-2209000.0,1,0,
1,1,138.04,33920000.0,-2578000.0,-2571000.0,1,0,
1,1,16.417,34710000.0,-3096000.0,-3500000.0,1,0,
