IonNumb,Energy(KeV),Depth(A),LateralY,DistanceZ(A),Se(eV/A),AtomHit,RecoilEnergy(eV),,Recoil,Atom,Energy(eV),x(A),y(A),z(A),Vac,Repl,,,Eloss ion (KeV),SOMME
5,"0,1496",39757000,5059000,-15910000,0,H,"14,941",,1,1,"14,941",39760000,5059000,-15910000,1,0,,,,
5,"0,06659",39263000,5116000,-16400000,0,H,"60,19",,1,1,"60,19",39260000,5116000,-16400000,1,0,,,,
6,"5,326",14597000,-147900,-67610,0,H,"12,136",,1,1,"12,136",14600000,-147900,-67610,1,0,,,,
6,"4,747",17732000,-435700,-171500,0,C,"61,02",,1,6,"61,02",17730000,-435700,-171500,1,0,,,,
6,"1,925",28592000,248900,-4113000,0,F,"77,818",,1,9,"77,818",28590000,248900,-4113000,1,0,,,,
,,,,,,,,,2,6,"30,947",28580000,132700,-4193000,1,0,,,,
6,"1,574",29815000,-689000,-4234000,0,F,"59,734",,1,9,"59,734",29820000,-689000,-4234000,1,0,,,,
,,,,,,,,,2,9,"32,942",29820000,-711700,-4288000,1,0,,,,
6,"1,06",32759000,-269800,-6073000,0,H,"40,582",,1,1,"40,582",32760000,-269800,-6073000,1,0,,,,
6,"0,6256",34232000,107200,-6732000,0,H,"19,564",,1,1,"19,564",34230000,107200,-6732000,1,0,,,,
6,"0,4378",35343000,690200,-7410000,0,H,"97,387",,1,1,"97,387",35340000,690200,-7410000,1,0,,,,
6,"0,07626",36620000,-1115000,-9223000,0,H,"16,625",,1,1,"16,625",36620000,-1115000,-9223000,1,0,,,,
6,"0,04997",36583000,-1147000,-9374000,0,H,"19,118",,1,1,"19,118",36580000,-1147000,-9374000,1,0,,,,
7,"3,686",18778000,-125100,-700500,0,H,"14,337",,1,1,"14,337",18780000,-125100,-700500,1,0,,,,
7,"3,671",20932000,-167200,-792700,0,H,"28,36",,1,1,"28,36",20930000,-167200,-792700,1,0,,,,
7,"2,479",25182000,-155400,-1369000,0,C,"309,96",,1,6,"309,96",25180000,-155400,-1369000,1,0,,,,
,,,,,,,,,2,6,"42,924",24910000,-464300,-1592000,1,0,,,,
,,,,,,,,,3,1,"12,069",24970000,-404000,-1477000,1,0,,,,
,,,,,,,,,4,1,"13,102",25010000,-371900,-1406000,1,0,,,,
,,,,,,,,,5,6,"42,487",25130000,-222700,-1349000,1,0,,,,
,,,,,,,,,6,9,"64,071",25160000,-199300,-1348000,1,0,,,,
7,"1,657",25774000,-1816000,-46900,0,H,"34,29",,1,1,"34,29",25770000,-1816000,-46900,1,0,,,,
7,"1,481",25927000,-2889000,814300,0,C,"171,08",,1,6,"171,08",25930000,-2889000,814300,1,0,,,,
,,,,,,,,,2,6,"87,26",25890000,-3004000,877400,1,0,,,,
,,,,,,,,,3,6,"46,388",25850000,-3063000,810900,1,0,,,,
,,,,,,,,,4,1,"16,735",25890000,-2979000,864000,1,0,,,,
,,,,,,,,,5,1,"16,45",25910000,-2948000,847900,1,0,,,,
7,"0,6205",21845000,-5903000,1861000,0,F,"58,647",,1,9,"58,647",21850000,-5903000,1861000,1,0,,,,
,,,,,,,,,2,9,"32,465",21840000,-5940000,1898000,1,0,,,,
7,"0,4697",22062000,-6015000,2324000,0,H,"19,887",,1,1,"19,887",22060000,-6015000,2324000,1,0,,,,
7,"0,2981",22676000,-6429000,3391000,0,H,"23,5",,1,1,"23,5",22680000,-6429000,3391000,1,0,,,,
7,"0,2746",23003000,-6611000,3744000,0,H,"69,425",,1,1,"69,425",23000000,-6611000,3744000,1,0,,,,
7,"0,09355",23683000,-7603000,3471000,0,H,"32,533",,1,1,"32,533",23680000,-7603000,3471000,1,0,,,,
8,"6,658",8518900,-512400,-76300,0,H,"20,748",,1,1,"20,748",8519000,-512400,-76300,1,0,,,,
8,"5,162",13819000,-1008000,-393600,0,H,"12,916",,1,1,"12,916",13820000,-1008000,-393600,1,0,,,,
8,"4,208",17922000,-1022000,-431400,0,H,"10,711",,1,1,"10,711",17920000,-1022000,-431400,1,0,,,,
8,"2,657",23897000,-518800,-529200,0,H,"30,798",,1,1,"30,798",23900000,-518800,-529200,1,0,,,,
8,"2,561",25716000,-126000,-633700,0,H,"24,201",,1,1,"24,201",25720000,-126000,-633700,1,0,,,,
8,"2,165",29192000,1022000,-1770000,0,H,"21,209",,1,1,"21,209",29190000,1022000,-1770000,1,0,,,,
8,"1,582",30944000,1504000,-2779000,0,H,"10,888",,1,1,"10,888",30940000,1504000,-2779000,1,0,,,,
8,"1,117",34620000,543500,-5146000,0,C,"65,839",,1,6,"65,839",34620000,543500,-5146000,1,0,,,,
8,"0,7795",35003000,-2424000,-5653000,0,F,"44,392",,1,9,"44,392",35000000,-2424000,-5653000,1,0,,,,
8,"0,4598",36193000,-2682000,-4537000,0,H,"11,906",,1,1,"11,906",36190000,-2682000,-4537000,1,0,,,,
8,"0,2302",38558000,-2854000,-4001000,0,H,"23,385",,1,1,"23,385",38560000,-2854000,-4001000,1,0,,,,
8,"0,04178",38987000,-3625000,-3208000,0,H,"15,981",,1,1,"15,981",38990000,-3625000,-3208000,1,0,,,,
9,"2,208",23018000,-1036000,-1777000,0,C,"34,117",,1,6,"34,117",23020000,-1036000,-1777000,1,0,,,,
9,"2,173",23303000,-1004000,-1704000,0,H,"545,85",,1,1,"545,85",23300000,-1004000,-1704000,1,0,,,,
9,"1,229",26988000,-1375000,2421000,0,H,"11,369",,1,1,"11,369",26990000,-1375000,2421000,1,0,,,,
9,"0,5749",29421000,-1988000,5200000,0,H,"22,794",,1,1,"22,794",29420000,-1988000,5200000,1,0,,,,
9,"0,5207",30866000,-2258000,5482000,0,C,"76,626",,1,6,"76,626",30870000,-2258000,5482000,1,0,,,,
,,,,,,,,,2,1,"12,144",30870000,-2261000,5482000,1,0,,,,
9,"0,2314",31114000,-2884000,4382000,0,C,"31,476",,1,6,"31,476",31110000,-2884000,4382000,1,0,,,,
9,"0,2",31408000,-2749000,4386000,0,H,"17,891",,1,1,"17,891",31410000,-2749000,4386000,1,0,,,,
10,"7,699",6894100,-752700,20690,0,F,"27,681",,1,9,"27,681",6894000,-752700,20690,1,0,,,,
10,"1,291",28326000,-3474000,824700,0,H,"15,169",,1,1,"15,169",28330000,-3474000,824700,1,0,,,,
10,"0,8749",30100000,-4594000,-307000,0,C,81,,1,6,81,30100000,-4594000,-307000,1,0,,,,
,,,,,,,,,2,1,"12,609",30100000,-4594000,-307100,1,0,,,,
10,"0,6092",31040000,-3776000,-849200,0,H,"50,458",,1,1,"50,458",31040000,-3776000,-849200,1,0,,,,
10,"0,3941",33335000,-2797000,-2209000,0,H,"17,017",,1,1,"17,017",33330000,-2797000,-2209000,1,0,,,,
10,"0,3589",33921000,-2578000,-2571000,0,H,"138,04",,1,1,"138,04",33920000,-2578000,-2571000,1,0,,,,
10,"0,1842",34715000,-3096000,-3500000,0,H,"16,417",,1,1,"16,417",34710000,-3096000,-3500000,1,0,,,,
